,sumAccumulatedPower,directLatitude,directElevation,sumMovingDuration,directFractionalCadence,sumDuration,directLongitude,directPower,sumElapsedDuration,directHeartRate,sumDistance,directVerticalOscillation,directGradeAdjustedSpeed,directRunCadence,directBodyBattery,directTimestamp,directDoubleCadence,directSpeed,directVerticalSpeed,directGroundContactTime,directStrideLength,directVerticalRatio,directPerformanceCondition
0,52,39.40964777,129,0,0,0,-76.58946874,52,0,96,0.879999995,5.65,1.138000011,45,18,1.73706E+12,90,1.138000011,,,,,
1,128,39.40964375,128.8000031,1,0,1,-76.58945591,76,1,96,2.230000019,5.370000076,1.138000011,68,18,1.73706E+12,136,1.138000011,-0.200000003,419,,,
2,200,39.40964081,128.8000031,2,0.5,2,-76.58943093,72,2,96,4.25,5.35,1.138000011,70,18,1.73706E+12,141,1.138000011,0,404,,,
3,435,39.40963252,128.3999939,4,0.5,4,-76.58936849,151,4,96,9.279999733,7.8,1.745000005,70,18,1.73706E+12,141,1.745000005,-0.400000006,380,74.7,10.43999958,
4,831,39.40962539,127.8000031,6,0.5,6,-76.58929481,208,6,97,16.14999962,9.559999847,2.500999928,80,18,1.73706E+12,161,2.500999928,-0.400000006,283,93.7,10.19999981,
5,1334,39.40962749,127.5999985,8,0,8,-76.58922222,252,8,97,22.37999916,10.34000015,3.210000038,83,18,1.73706E+12,166,3.210000038,0,256,116,8.920000076,
6,1832,39.40961919,127,10,0,10,-76.58915467,247,10,98,28.29000092,10.26999969,3.163000107,83,18,1.73706E+12,166,3.163000107,-0.400000006,257,114.3,8.979999542,
7,2270,39.40960946,126.8000031,12,0,12,-76.58908602,212,12,100,34.15999985,9.969999695,2.875999928,83,18,1.73706E+12,166,2.994999886,0,261,108.2,9.210000038,
8,2692,39.40959463,126.8000031,14,0.5,14,-76.5890188,210,14,102,40.31000137,9.930000305,2.867000103,83,18,1.73706E+12,167,2.986000061,0,262,107.9,9.199999809,
9,3113,39.40958373,126.8000031,16,0.5,16,-76.58896088,210,16,104,45.81000137,9.969999695,2.851999998,83,18,1.73706E+12,167,2.994999886,0,261,108.2,9.210000038,
10,3526,39.4095746,126.8000031,18,0.5,18,-76.5889017,206,18,109,50.95000076,9.690000153,2.825000048,84,18,1.73706E+12,169,2.967000008,0,259,105.9,9.140000343,
11,3929,39.40956697,126.8000031,20,0.5,20,-76.58884965,200,20,113,55.29999924,9.55,2.753999949,84,18,1.73706E+12,169,2.892999887,0,261,103.3,9.239999771,
12,4318,39.40955725,127,22,0.5,22,-76.58878662,193,22,116,60.68000031,9.319999695,2.648000002,84,18,1.73706E+12,169,2.780999899,0,264,99.3,9.390000343,
13,4700,39.40954643,127.1999969,24,0,24,-76.58871411,191,24,118,67.05000305,9.309999847,2.683000088,84,18,1.73706E+12,168,2.770999908,0.200000003,264,98.9,9.409999847,
14,5090,39.40952229,127.1999969,26,0.5,26,-76.58864245,197,26,121,73.84999847,9.6,2.719000101,83,18,1.73706E+12,167,2.809000015,0,266,101.5,9.460000038,
15,5502,39.40948298,127.1999969,28,0.5,28,-76.58859769,208,28,123,79.80999756,9.690000153,2.825000048,83,18,1.73706E+12,167,2.855000019,0,265,103.1,9.390000343,
16,5929,39.40946027,127.4000015,30,0,30,-76.58854044,215,30,125,85.08000183,10.16999969,2.842999935,81,18,1.73706E+12,162,2.874000072,0.200000003,271,106.4,9.56000042,
17,6354,39.40945767,127.8000031,32,0.5,32,-76.58847489,212,32,127,90.72000122,9.909999847,2.839999914,81,18,1.73706E+12,163,2.855000019,0.200000003,268,104.4,9.489999771,
18,6779,39.40947535,128,34,0,34,-76.58840717,213,34,129,97.25,9.690000153,2.839999914,83,18,1.73706E+12,166,2.855000019,0,265,103.1,9.390000343,
19,7227,39.40949648,128.6000061,36,0,36,-76.58834229,228,36,132,103.0199966,9.840000153,2.986000061,83,18,1.73706E+12,166,2.930000067,0.400000006,263,105.8,9.289999962,
20,7691,39.40949631,129,38,0.5,38,-76.58827239,233,38,135,108.4300003,9.830000305,2.976000071,82,18,1.73706E+12,165,2.921000004,0.200000003,263,105.5,9.31000042,
21,8164,39.40947141,129.1999969,40,0.5,40,-76.58828001,239,40,137,112.1699982,9.990000153,3.039999962,82,18,1.73706E+12,165,2.892999887,0.200000003,267,105.8,9.43999958,
22,8677,39.40943956,129.1999969,42,0.5,42,-76.58834179,262,42,142,118.1800003,9.830000305,2.961999893,82,18,1.73706E+12,165,2.818000078,0,269,103,9.539999962,
23,9216,39.40940025,129.6000061,44,0.5,44,-76.58839543,272,44,145,124.5199966,9.840000153,3.059999943,82,18,1.73706E+12,165,2.826999903,0.200000003,269,103.4,9.520000458,
24,9776,39.40934359,130,46,0,46,-76.58842016,283,46,147,131.0099945,9.45,3.069999933,84,18,1.73706E+12,168,2.836999893,0.200000003,262,101.3,9.329999924,
25,10354,39.40928408,130.1999969,48,0.5,48,-76.5884262,290,48,148,137.2599945,9.469999695,3.119999886,84,18,1.73706E+12,169,2.855000019,0,262,101.9,9.289999962,
26,10943,39.40922666,130.6000061,50,0.5,50,-76.58843005,297,50,149,144.4799957,9.480000305,3.131000042,84,18,1.73706E+12,169,2.86500001,0.200000003,262,102.3,9.270000458,
27,11546,39.40917956,130.8000031,52,0.5,52,-76.58843609,302,52,150,150.0800018,9.55,3.213999987,84,18,1.73706E+12,169,2.892999887,0.200000003,261,103.3,9.239999771,
28,12152,39.40913631,131,54,0,54,-76.58844078,303,54,151,154.8300018,9.55,3.224999905,84,18,1.73706E+12,168,2.90199995,0.200000003,261,103.6,9.220000267,
29,12756,39.40908937,131.1999969,56,0.5,56,-76.58844472,301,56,152,159.6300049,9.75,3.210000038,83,18,1.73706E+12,167,2.882999897,0,264,104.2,9.359999657,
30,13355,39.40903606,131.3999939,58,0.5,58,-76.58845369,300,58,152,164.9799957,9.969999695,3.198999882,82,18,1.73706E+12,165,2.874000072,0,267,105.1,9.479999542,
31,13947,39.40899658,131.8000031,60,0.5,60,-76.5884609,295,60,152,169.5700073,9.919999695,3.183000088,82,18,1.73706E+12,165,2.86500001,0.200000003,268,104.7,9.470000267,
32,14530,39.40898552,132,62,0.5,62,-76.58851278,290,62,152,173.3000031,9.9,3.161999941,82,18,1.73706E+12,165,2.845999956,0.200000003,268,104.1,9.510000229,
33,15090,39.40897026,132.1999969,64,0.5,64,-76.58855444,275,64,151,177.3500061,9.8,3.105999947,82,18,1.73706E+12,165,2.789999962,0.200000003,269,102,9.600000381,
34,15617,39.40894905,132.1999969,66,0.5,66,-76.58859484,261,66,151,181.3500061,9.65,3.032999992,82,18,1.73706E+12,165,2.724999905,0,271,99.6,9.680000305,
35,16116,39.40892718,132.1999969,68,0.5,68,-76.58864681,246,68,151,185.9400024,9.390000153,2.898000002,81,18,1.73706E+12,163,2.612999916,0,274,95.5,9.829999924,
36,16595,39.4089058,132.1999969,70,0.5,70,-76.5887059,237,70,151,191.4600067,9.35,2.867000103,82,18,1.73706E+12,165,2.585000038,0,274,94.5,9.890000343,
37,17045,39.40891083,132,72,0,72,-76.58876566,220,72,151,196.6499939,8.959999847,2.79399991,84,18,1.73706E+12,168,2.594000101,-0.200000003,268,92.6,9.680000305,
38,17459,39.40893011,131.8000031,74,0.5,74,-76.5888292,203,74,152,202.5299988,9.159999847,2.79399991,83,18,1.73706E+12,167,2.594000101,-0.200000003,271,93.7,9.770000458,
39,17851,39.40895023,131.3999939,76,0.5,76,-76.588896,197,76,152,208.8200073,9.490000153,2.79399991,82,18,1.73706E+12,165,2.65899992,-0.200000003,273,97.2,9.75,
40,18253,39.40896817,131.1999969,78,0.5,78,-76.58896591,202,78,152,215.1399994,9.440000153,2.872999907,82,18,1.73706E+12,165,2.733999968,-0.200000003,268,98.8,9.550000191,
41,18661,39.40898376,131.1999969,80,0.5,80,-76.5890333,203,80,151,221.0200043,9.330000305,2.823999882,84,18,1.73706E+12,169,2.789999962,0,264,99.6,9.369999886,
